"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","114,567,419","±163,249","50,046","±64"
"One race--","","","",""
"    White","78.2%","±0.1","52,480","±83"
"    Black or African American","12.0%","±0.1","33,578","±217"
"    American Indian and Alaska Native","0.7%","±0.1","35,062","±685"
"    Asian","4.0%","±0.1","67,022","±416"
"    Native Hawaiian and Other Pacific Islander","0.1%","±0.1","52,776","±2,767"
"    Some other race","3.3%","±0.1","38,230","±412"
"Two or more races","1.7%","±0.1","43,597","±660"
"Hispanic or Latino origin (of any race)","11.6%","±0.1","40,165","±147"
"White alone, not Hispanic or Latino","70.6%","±0.1","54,168","±109"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","4.3%","±0.1","24,143","±268"
"    25 to 44 years","34.1%","±0.1","54,024","±156"
"    45 to 64 years","39.9%","±0.1","60,683","±125"
"    65 years and over","21.7%","±0.1","34,381","±97"
"FAMILIES","","","",""
"    Families","76,089,045","±141,318","60,609","±93"
"        With own children under 18 years","44.7%","±0.1","57,085","±182"
"        With no own children under 18 years","55.3%","±0.1","62,611","±152"
"    Married-couple families","73.2%","±0.1","72,596","±149"
"    Female householder, no husband present","19.7%","±0.1","30,085","±121"
"    Male householder, no wife present","7.1%","±0.1","41,474","±242"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","38,478,374","±96,945","30,440","±82"
"    Female householder","53.7%","±0.1","26,261","±109"
"        Living alone","45.5%","±0.1","23,568","±114"
"        Not living alone","8.2%","±0.1","50,292","±490"
"    Male householder","46.3%","±0.1","35,484","±125"
"        Living alone","36.1%","±0.1","31,135","±101"
"        Not living alone","10.2%","±0.1","55,200","±488"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","28.8%","(X)","(X)","(X)"
"    Family income in the past 12 months","29.5%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","25.9%","(X)","(X)","(X)"
