Year,CPI-U,inflation_factor
2010,218.056,1.0
2011,224.939,0.9694005930496713
2012,229.594,0.949746073503663
2013,232.957,0.9360354056757256
2014,236.736,0.9210935387942688
2015,237.017,0.9200015188783928
2016,240.007,0.9085401675784457
2017,245.12,0.8895887728459531
2018,251.107,0.8683788185912779
2019,255.657,0.8529240349374357
2021,270.97,0.8047237701590582
2022,292.655,0.7450957612205499
